x,y,value,group,label,facet,source,target,weight,lower,upper
62.1,101.8,101.8,,item_284,,62.1,101.8,101.8,21.196929194833317,182.4030708051667
17.6,17.2,17.2,,item_285,,17.6,17.2,17.2,-63.40307080516668,97.80307080516668
3.6,3.7,3.7,,item_286,,3.6,3.7,3.7,-76.90307080516668,84.30307080516668
13.3,16.1,16.1,,item_287,,13.3,16.1,16.1,-64.50307080516669,96.70307080516667
25.8,55.4,55.4,,item_288,,25.8,55.4,55.4,-25.203070805166682,136.0030708051667
21.1,12.9,12.9,,item_289,,21.1,12.9,12.9,-67.70307080516667,93.50307080516669
41.9,34.8,34.8,,item_290,,41.9,34.8,34.8,-45.80307080516668,115.40307080516668
12.6,18.7,18.7,,item_291,,12.6,18.7,18.7,-61.90307080516668,99.30307080516668
0.0,0.0,0.0,,item_292,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
3.2,0.0,0.0,,item_293,,3.2,0.0,0.0,-80.60307080516668,80.60307080516668
74.2,55.6,55.6,,item_294,,74.2,55.6,55.6,-25.00307080516668,136.20307080516667
0.2,0.1,0.1,,item_295,,0.2,0.1,0.1,-80.50307080516669,80.70307080516667
